股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,阶段2分,长期趋势证据,右上角位置证据,40日仍活证据,长期下降修复惩罚,二级结构延续贡献,阶段3分,生命周期标签,阶段3通过,阶段3风险提示,阶段3规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
603083,剑桥科技,224.46,-0.042528686601544186,0.19209729672314002,0.16766373614940444,0.20794317081046176,0.2749786992331724,0.046677547213802795,0.9501303214596004,0.17611866501854143,-0.05637533106318571,0.21672619047619046,0.8126321264244702,32057551.4,22942663.5,1.3972898743862063,0.11368786592459033,0.0832497512512982,1.3656240915532762,False,0.12546500518366432,0.04995508379196023,True,3,2,部分收敛/待确认,-0.14715604696227058,0.7952959830866809,0.16104103679526593,0.07376937168886455,0.012442948639060702,0.08298772874743676,-0.01587162399158193,202.25,176.92,0.1098145859085291,0.26870902102645267,True,3,2026-09-07,沪深主板10%,25,10.001592610288256,13,3,2,1,0,2.8322981366459627,8.832298136645964,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,,,93,1.7173913043478262,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限
603228,景旺电子,111.75,0.01581674393236976,0.15995432842017854,0.19009584664536727,0.1401897765534128,0.5585774058577406,0.3786084381939303,0.9434782608695653,0.15230847285641813,-0.015938710813666823,0.15525700934579448,0.9810086739284714,44581450.6,36836680.3,1.2102461523928367,0.04632060588784915,0.03751148761727935,1.2348378811431608,False,0.11876425972744653,0.053048505387738754,True,3,2,部分收敛/待确认,-0.015938710813666823,0.971192105681999,0.15557026229118298,0.06500472741107388,0.052454749140980805,0.08111537040020456,-0.011061946902654829,98.55,85.6,0.1339421613394216,0.3054906542056075,True,2,2026-09-07,沪深主板10%,25,10.002240143369168,13,3,2,1,0,2.8322981366459627,8.832298136645964,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,,,93,1.7173913043478262,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限
603261,立航科技,56.9,-0.021496130696474602,-0.014206514206514198,-0.0017543859649122862,0.01426024955436711,0.20168954593453003,0.2709403618494526,0.8237179487179487,0.09246009906439184,-0.11919504643962842,0.35600335852225007,0.2597169292115347,2136100.0,2914770.0,0.7328537071535661,0.0235442807822182,0.03760749851796694,0.6260528274958236,True,0.0006326666900988709,0.006231794509665489,True,3,3,收敛较充分,-0.11919504643962842,0.8296836982968371,0.037261192941519417,0.04077401520387025,0.07385824684745002,0.10559941072280132,-0.0445004198152813,54.51,53.95,0.04384516602458266,0.05468025949953659,True,2,2026-08-27,沪深主板10%,25,10.009587727708524,12,3,2,1,0,2.65527950310559,8.65527950310559,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,3,True,,,93,1.7173913043478262,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限
002687,乔治白,6.24,0.004830917874396157,0.009708737864077666,-0.018867924528301883,-0.04587155963302747,0.1954022988505748,0.5,0.3136842105263158,0.11202635914332779,-0.07555555555555549,0.11166666666666665,1.0032211266566669,17463683.6,20755638.6,0.841394665640401,0.0442592164762995,0.05018086908671493,0.8819938211874622,True,0.010266281681103662,0.0009557183816502057,True,3,2,部分收敛/待确认,-0.07555555555555549,0.8145454545454546,-0.011641720123544697,0.0406018491931317,0.06512116676750623,0.04286153215895139,-0.0444104134762634,6.07,6.03,0.028006589785831926,0.03482587064676612,True,1,2026-08-11,沪深主板10%,12,9.926470588235304,10,3,2,1,0,2.1801242236024847,8.180124223602485,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,4,True,,,93,1.7173913043478262,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限
002963,豪尔赛,20.13,-0.034069097888675626,-0.0004965243296922717,0.05117493472584855,0.12899607403252955,0.34199999999999986,0.03283735248845554,0.38065843621399176,0.13867876954109937,-0.18104149715215623,0.4416422287390028,0.31400704125839907,10574287.4,16246874.5,0.650850562057336,0.0846487710818544,0.10879093235205432,0.7780866406027814,True,0.021948402002310408,-0.001891000775795293,True,3,3,收敛较充分,-0.18104149715215623,0.6547711404189295,0.01736032143127897,0.07743325526932088,0.021348220827034803,0.041649549848299605,-0.09119638826185095,19.83,18.23,0.015128593040847349,0.10422380691168387,True,4,2026-09-07,沪深主板10%,25,10.021905805038323,10,3,2,1,0,2.1801242236024847,8.180124223602485,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,4,True,,,93,1.7173913043478262,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限
600127,金健米业,13.55,-0.03214285714285714,0.10162601626016254,0.15123194562446907,1.3083475298126066,1.4370503597122304,1.4591651542649728,0.9329529243937233,0.17734374999999997,-0.10086264100862641,0.7863577863577865,0.22552552168576095,227647763.6,253631943.8,0.8975516261449713,0.34812039912205994,0.3951987784760056,0.8808741779630678,True,0.0686558075810626,0.07727862471618563,True,3,3,收敛较充分,-0.10086264100862641,0.848605577689243,0.2253572074516188,0.1784531544749528,0.20320320320320318,0.1039504585470814,-0.0893817204301075,12.8,11.4,0.05859375,0.1885964912280702,True,8,2026-09-07,沪深主板10%,25,10.061919504643967,10,3,2,1,0,2.1801242236024847,8.180124223602485,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,4,True,,,93,1.7173913043478262,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限
603082,北自科技,44.95,-0.02452256944444431,0.02508551881413923,0.007621609504595561,0.11955168119551685,0.34179104477611943,0.11015065448258832,0.2946428571428572,0.14054179208150036,-0.08749492488834743,0.17920519870032497,0.7842506417267542,5537095.2,6490288.0,0.8531355157120917,0.1770540894397747,0.16002919355276163,1.1063861881013601,True,0.019182979465492522,0.02600165729770887,True,3,3,收敛较充分,-0.11218645072091649,0.74822695035461,0.023743096281956477,0.03889093966613344,0.046242749432564345,0.026733227373463953,-0.08730964467005076,43.19,42.57,0.040750173651308286,0.05590791637303272,True,2,2026-08-28,沪深主板10%,25,10.012453300124546,10,3,2,1,0,2.1801242236024847,8.180124223602485,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,4,True,,,93,1.7173913043478262,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限
603880,南卫股份,9.72,-0.02114803625377637,0.005170630816959676,0.004132231404958775,0.20895522388059717,0.5283018867924529,0.2623376623376623,0.3905579399141632,0.1006355932203391,-0.06448508180943213,0.1969339622641509,0.5110118745559735,10689526.6,13850089.4,0.7718019928448981,0.0444957445630738,0.04791722102670197,0.9285960998923217,True,0.0024217961654895426,0.015734989648033215,True,3,3,收敛较充分,-0.06448508180943213,0.8683693516699411,0.03779628443305594,0.07376512921164546,0.04749139972300398,0.05612333275593273,-0.05355404089581295,9.44,9.28,0.029661016949152685,0.0474137931034484,True,1,2026-08-17,沪深主板10%,25,9.950248756218905,10,3,2,1,0,2.1801242236024847,8.180124223602485,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,4,True,,,93,1.7173913043478262,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限
688485,九州一轨,94.98,-0.02823818293431546,-0.005132502356761215,0.14433734939759035,0.31733703190013896,1.01143583227446,0.398821796759941,2.8594067452255185,0.12857450010750385,-0.0952562392836731,0.29936305732484075,0.4294935429123001,7217467.2,7401077.9,0.975191356923834,0.05248157861235984,0.04924463608730043,1.0657318803071463,True,0.012708614076915037,0.03269470827679788,True,3,3,收敛较充分,-0.0952562392836731,0.8920436143797906,0.054103545863159797,0.10918532162741301,0.11480049929922909,0.22930355146631487,-0.08673076923076917,93.02,81.17,0.021070737475811674,0.17013675003079953,True,1,2026-08-14,科创板20%,25,20.006657789613836,10,3,2,1,0,2.1801242236024847,8.180124223602485,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,4,True,,,93,1.7173913043478262,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限
002536,飞龙股份,53.3,-0.007633587786259666,-0.08513559903879164,-0.000562535158447397,0.25117370892018775,0.08311318837634629,0.16604681688908318,0.7127249357326477,0.1671588895451861,-0.16679693606377988,0.361063829787234,0.462962157255377,66310871.0,68829505.6,0.96340763197346,0.1344393063060676,0.1262179430871963,1.0651362478090112,True,-0.05258702424488704,0.012449318591815972,False,3,2,部分收敛/待确认,-0.16679693606377988,0.7570029606012297,0.01753481668146195,0.05317744396197632,0.05342343165007746,0.07572920844233932,-0.10087719298245623,50.79,50.79,0.04941917700334697,0.04941917700334697,True,3,2026-09-02,沪深主板10%,25,10.00189429816254,9,3,2,1,0,1.6956521739130435,7.695652173913043,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,10,True,,,93,1.7173913043478262,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限
