日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数
2026-07-30,7.52,8.28,7.5,8.28,53222896.0,427785195.0,0.016865726004446385,7.52,8.28,7.5,8.28,1.0
2026-07-31,8.32,8.32,7.73,8.03,45911434.0,366626725.0,0.014548807459015833,8.32,8.32,7.73,8.03,1.0
2026-08-03,8.01,8.73,7.98,8.67,57596804.0,488649965.0,0.018251767340803884,8.01,8.73,7.98,8.67,1.0
2026-08-04,8.67,8.84,8.36,8.81,40280675.0,349967184.0,0.012764484439632023,8.67,8.84,8.36,8.81,1.0
2026-08-05,8.65,8.98,8.6,8.83,35598052.0,314158924.0,0.011280614856509023,8.65,8.98,8.6,8.83,1.0
2026-08-06,8.79,9.15,8.78,9.06,32004165.0,288670127.0,0.01014175323888976,8.79,9.15,8.78,9.06,1.0
2026-08-07,9.0,9.23,8.95,9.13,26145754.0,238973005.0,0.008285289908757654,9.0,9.23,8.95,9.13,1.0
2026-08-10,9.14,9.45,8.86,9.39,30571747.0,285273733.0,0.007770335916081572,9.14,9.45,8.86,9.39,1.0
2026-08-11,9.35,9.65,9.34,9.61,24468512.0,233665666.0,0.006219093649004519,9.35,9.65,9.34,9.61,1.0
2026-08-12,9.52,9.75,9.42,9.65,22140013.0,211896180.0,0.005627265533644935,9.52,9.75,9.42,9.65,1.0
2026-08-13,9.63,9.75,9.35,9.36,21098270.0,200171817.0,0.0053624886123840535,9.63,9.75,9.35,9.36,1.0
2026-08-14,9.44,9.58,9.23,9.3,22519448.0,210150241.0,0.0057237054724001,9.44,9.58,9.23,9.3,1.0
2026-08-17,9.21,9.45,8.99,9.45,28990525.0,268396169.0,0.007368441117662028,9.21,9.45,8.99,9.45,1.0
2026-08-18,9.41,9.63,9.33,9.57,19656972.0,186637419.0,0.00499615790792099,9.41,9.63,9.33,9.57,1.0
2026-08-19,9.55,9.69,9.39,9.43,14739194.0,139865237.0,0.0037462199498214483,9.55,9.69,9.39,9.43,1.0
2026-08-20,9.49,9.72,9.41,9.55,21247171.0,203905066.0,0.005400334365465827,9.49,9.72,9.41,9.55,1.0
2026-08-21,9.5,9.5,9.33,9.37,14392827.0,135203670.0,0.0036581848126653865,9.5,9.5,9.33,9.37,1.0
2026-08-24,9.28,9.5,9.21,9.35,17527710.0,164625668.0,0.004454969306780608,9.28,9.5,9.21,9.35,1.0
2026-08-25,9.26,9.43,9.26,9.37,12406075.0,116163574.0,0.003153217581909915,9.26,9.43,9.26,9.37,1.0
2026-08-26,9.3,9.48,9.25,9.36,11239465.0,105486126.0,0.002856703562509587,9.3,9.48,9.25,9.36,1.0
2026-08-27,9.27,9.38,9.08,9.12,15167802.0,138778536.0,0.0038551580532383022,9.27,9.38,9.08,9.12,1.0
2026-08-28,9.2,9.24,8.95,8.98,17450178.0,157541392.0,0.00443526321395426,9.2,9.24,8.95,8.98,1.0
2026-08-31,9.21,9.28,8.85,9.15,27187296.0,246808732.0,0.006910119417445816,9.21,9.28,8.85,9.15,1.0
2026-09-01,9.0,9.28,8.96,9.18,18194307.0,166212101.0,0.004624396412488772,9.0,9.28,8.96,9.18,1.0
2026-09-02,9.12,9.23,8.86,9.06,14402104.0,129470783.0,0.0036605427219563893,9.12,9.23,8.86,9.06,1.0
