股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,基础整理条件,振幅收敛,成交量收敛,换手率收敛,流动性收敛,短期下行停止,整理成熟,中期趋势仍活,均线趋势辅助,稳健上沿核心区,稳健上沿宽区,适度重新加速,整理成熟贡献,振幅收敛贡献,流动性收敛贡献,短期止跌贡献,40日趋势贡献,均线趋势辅助贡献,稳健上沿贡献,重新加速辅助贡献,阶段2分,阶段2通过,阶段2风险提示,阶段2规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
002107,沃华医药,7.36,0.025069637883008422,0.04101838755304099,0.1499999999999999,0.18327974276527348,0.07759882869692536,0.24114671163575063,,0.1073025335320417,-0.009421265141318913,0.22222222222222218,0.4828614008941877,31331786.0,23640278.3,1.3253560555587875,0.03916177925830353,0.041372816966217016,0.9465582024613188,True,0.0068846815834768815,0.03793716656787205,True,3,3,收敛较充分,-0.11538461538461542,0.6745762711864407,0.10510510510510529,0.03057860029780879,0.028537651554724874,,0.008219178082191858,6.71,6.35,0.09687034277198214,0.15905511811023643,True,True,False,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,30,50,34,13,入选：阶段2分=15；软容量30-50只，本次实际34只
002491,通鼎互联,22.22,0.03589743589743577,0.03541472506989729,-0.011565836298932486,0.17940552016985123,0.09081983308787422,-0.14865900383141772,,0.11732673267326738,-0.08181818181818179,0.4086146682188591,0.28713294406363726,154000619.2,250133855.9,0.6156728310363843,0.11203090903455347,0.21261410141132203,0.5269213485413139,True,-0.0005645996047802804,0.0003689526357053552,True,3,3,收敛较充分,-0.4404432132963989,0.424102732960158,0.06328508194760118,0.0491168774531181,-0.02400782831489534,,0.010459299681673473,20.2,20.2,0.10000000000000009,0.10000000000000009,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,30,50,34,13,入选：阶段2分=15；软容量30-50只，本次实际34只
603268,松发股份,197.7,0.02754677754677748,0.07709071097793507,0.05552589428723964,0.15641085634066432,0.23208276205907996,0.31135579729371177,,0.08740458015267176,-0.008674722960437364,0.13142857142857142,0.6650348489877199,4873832.2,6279717.8,0.7761228060280034,0.0219446998120652,0.026922715540942423,0.8150997910553651,True,0.023803475794331064,0.012946155279337956,True,3,3,收敛较充分,-0.008674722960437364,0.9808649485676362,0.06248908355614069,0.041515338845529826,0.045795473214624405,,0.00867346938775504,183.4,181.0,0.07797164667393663,0.0922651933701657,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,30,50,34,13,入选：阶段2分=15；软容量30-50只，本次实际34只
000520,凤凰航运,4.53,0.024886877828054432,0.0811455847255369,0.0837320574162681,0.13819095477386933,0.1212871287128714,-0.01091703056768556,,0.10551558752997611,-0.02580645161290329,0.1259079903147701,0.8380372624976941,89437182.4,38043554.1,2.3509155365691767,0.10365030948295988,0.03758934494191485,2.757438567847514,False,0.03445065176908724,0.01571663148017821,True,3,2,部分收敛/待确认,-0.09399999999999997,0.7251461988304095,0.0682702511496287,0.02608190049007386,-0.0009374363154674992,,-0.017353579175705014,4.17,4.13,0.08633093525179869,0.09685230024213087,True,True,False,False,False,True,True,True,True,True,True,True,3,1,0,1,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,4,True,30,50,34,13,入选：阶段2分=14；软容量30-50只，本次实际34只
002265,建设工业,21.67,0.02750118539592239,0.010727611940298587,0.17899891186071826,0.08949220713926609,0.30699638118214745,0.11242299794661204,,0.0821984435797666,-0.026067415730336996,0.2011204481792717,0.40870256765984236,34104613.0,12247494.2,2.7846196489727673,0.0353079341519568,0.011855774582494089,2.9781212443168013,False,0.03467474116038294,0.04581488726449101,True,3,2,部分收敛/待确认,-0.2036016170525542,0.5114638447971783,0.10095005842605298,0.021439883055183184,0.003851899850604079,,-0.012756264236901904,20.56,18.3,0.05398832684824928,0.18415300546448088,True,True,False,False,False,True,True,True,True,True,True,True,3,1,0,1,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,4,True,30,50,34,13,入选：阶段2分=14；软容量30-50只，本次实际34只
002476,新叶股份,5.23,-0.018761726078799223,0.023483365949119372,0.03359683794466428,0.1469298245614037,0.18058690744921013,-0.036832412523020164,,0.0533596837944665,-0.018761726078799223,0.07692307692307696,0.6936758893280642,9207156.0,9409305.6,0.9785159916583005,0.014810827886710167,0.015374682352941132,0.9633257810934155,True,0.02114330462020364,0.011776251226692791,True,3,3,收敛较充分,-0.1631999999999999,0.5446428571428574,0.04007159192602194,0.0344705046197582,-0.002485994397759206,,-0.016917293233082664,5.06,4.99,0.03359683794466428,0.04809619238476959,True,True,True,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,4,True,30,50,34,13,入选：阶段2分=14；软容量30-50只，本次实际34只
002724,海洋王,7.15,-0.013793103448275779,0.011315417256011262,0.07035928143712589,0.2767857142857144,0.438631790744467,0.3516068052930057,,0.09467455621301783,-0.041554959785522705,0.3143872113676733,0.3011399725871696,18329253.2,35199793.0,0.5207204826460201,0.032262136704766034,0.06213793835265589,0.5192019168976354,True,0.004016064257028162,0.02165642376353505,True,3,3,收敛较充分,-0.09722222222222221,0.7638036809815952,0.06660699634519296,0.05394795872588598,0.05246681692962718,,-0.0055632823365785455,6.76,6.63,0.05769230769230771,0.07843137254901977,True,True,True,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,4,True,30,50,34,13,入选：阶段2分=14；软容量30-50只，本次实际34只
002734,利民股份,17.41,-0.014156285390713452,0.05069402534701273,0.11602564102564106,0.1025965801139963,0.09981048641819323,0.06223306894447833,,0.09268292682926849,-0.028459821428571508,0.18898186889818694,0.4904329043290442,18484357.2,17104820.4,1.0806519313117138,0.0338860407705926,0.039342830833655903,0.8613015396341211,True,0.029008184882041377,0.04276377217553673,True,3,3,收敛较充分,-0.13167082294264343,0.6838323353293413,0.09524408656265715,0.04446179587283883,0.007273580478648345,,0.012209302325581373,16.4,15.38,0.0615853658536587,0.13198959687906364,True,True,False,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,4,True,30,50,34,13,入选：阶段2分=14；软容量30-50只，本次实际34只
002902,铭普光磁,26.92,0.0003716090672611916,0.03379416282642089,0.10873146622734753,0.0691024622716443,0.0598425196850394,-0.2600329851566795,,0.12888707037643202,-0.04301457518663343,0.20626072041166374,0.6248745283115168,15008170.8,15788956.4,0.9505486252403611,0.0679509403487842,0.08467251979969027,0.8025146825621311,True,0.008596868283696768,0.03219378784918936,True,3,3,收敛较充分,-0.3743899604926795,0.34352078239608813,0.048429497789807874,0.030678490524338242,-0.04220443586077116,,-0.009565857247976428,24.44,24.32,0.1014729950900164,0.10690789473684226,True,True,True,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,4,True,30,50,34,13,入选：阶段2分=14；软容量30-50只，本次实际34只
300839,博汇股份,13.56,0.005189028910304039,0.08047808764940245,0.061863743148003136,0.2417582417582418,0.21071428571428585,-0.09840425531914887,,0.12733171127331713,-0.04507042253521121,0.3759689922480619,0.3386760980259364,17961950.6,22386460.9,0.802357759014959,0.06430171895212783,0.0790534302680432,0.8133956835788484,True,0.03159383841559271,0.002945964803473089,True,3,3,收敛较充分,-0.34619093539054957,0.3712784588441332,0.10490935017315128,0.04441341611954486,-0.027724201090651657,,0.005189028910304039,12.33,12.33,0.0997566909975669,0.0997566909975669,True,True,True,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,4,True,30,50,34,13,入选：阶段2分=14；软容量30-50只，本次实际34只
